2 combinaisons libres,Combinaison libre
4 combinaisons fixes,Combinaison libre
5 combinaisons ajustables,Combinaison libre
5 combinaisons fixes,Combinaison libre
accouplement ii/i,Accouplement II/I
accouplement positif / grand-orgue,Accouplement Pos./G.O.
accouplement positif/grand orgue,Accouplement Pos./G.O.
accouplement recit / positif,Accouplement Réc./Pos.
anches,Anches
anches bombarde,Anches Bomb.
anches echo,Anches Ech.
anches go,Anches G.O.
anches grand-choeur,Anches G.Ch.
anches grand-orgue,Anches G.O.
anches pedale,Anches Péd.
anches positif,Anches Pos.
anches recit,Anches Réc.
annulateur anches,None
annulateur anches grand-orgue,None
annulateur anches pedale,None
annulateur anches positif,None
annulateur anches recit,None
annulateur mixtures grand-orgue,None
annulateur mixtures positif,None
annulateur mixtures recit,None
annulateur recit 8,None
appel / retrait trompette 8,Trompette
appel anches,Anches
appel anches et mixture pedale,"Anches Péd.,Mixtures Péd."
appel anches grand-orgue,Appel G.O.
appel anches recit,Anches Réc.
appel bombarde,Anches Bomb.
appel bourdon,Bourdon
appel chamade,Chamade
appel clairon,Clairon
appel combinaison ajustable,Combinaison libre
appel cornet,Cornet
appel cornet positif,Cornet Pos.
appel fonds,Fonds 8'
appel fonds 8,Fonds 8'
appel fonds de 8,Fonds 8'
appel forte general,Tutti
appel grand jeu,Grand jeu
appel grand jeu grand-choeur,Grand jeu G.Ch.
appel grand jeu grand-orgue,Grand jeu G.O.
appel grand jeu pedale,Grand jeu Péd.
appel grand jeu recit,Grand jeu Réc.
appel grand plein-jeu,Grand plein jeu
appel grand-orgue,Appel G.O.
appel mixtures,Mixtures
appel prestant,Prestant
appel principal 16 pedale,Principal 16' Péd.
appel registration,Combinaison libre
appel soubasse pedale (= montre 16 grand-orgue),Soubasse Péd.
appel trompette,Trompette
appel tutti,Tutti
appel tutti fonds,Fonds
appel tutti mixtures,Mixtures
appel-renvoi anches,Anches
appel-renvoi plein-jeu,Plein jeu
appel-renvoi prestant+doublette,Prestant
appel-retrait anches,Anches
appel-retrait anches grand-orgue,Anches G.O.
appel-retrait anches recit,Anches Réc.
appel-retrait bombarde,Bombarde
appel-retrait chamade,Chamade
appel-retrait plein jeu positif,Plein jeu Pos.
