abbe tronchet,"Tronchet Victor, abbé"
abbey,"Abbey"
alcouffe,"Alcouffe"
alizon,"Alizon"
baldner,"Baldner"
baudot,"Baudot Evrard"
bedel isambart,"Bedel & Isambart"
benevoles,"None"
benoist et sarelot,"Benoist et Sarelot"
benoist sarelot,"Benoist et Sarelot"
bert,"None"
beuchet,"Beuchet Joseph"
beuchet debierre,"Beuchet-Debierre"
beuchet debierre danion gonzalez,"Beuchet-Debierre,Danion-Gonzalez"
beurtin,"Beurtin Paul"
birouste,"Birouste Daniel"
boisseau,"Boisseau Jean-Loup"
bonn,"Bonn Louis"
bouvet,"Bouvet Raymond"
brunel,"Brunel Gérard"
cattiaux,"Cattiaux Bertrand"
cavaille coll,"Cavaillé-Coll Aristide"
cavaille coll convers,"Convers / Cavaillé-Coll"
cheron,"Chéron"
chevron,"Chevron Olivier"
claude freres,"Claude frères"
clicquot,"Clicquot François-Henri"
conan,"Conan Jean-Pierre"
conan et lemercier,"Conan Jean-Pierre,Lemercier Thierry"
conan lemercier,"Conan Jean-Pierre,Lemercier Thierry"
damiens,"Damiens"
damiens freres,"Damiens frères"
daublaine callinet,"Daublaine & Callinet"
de heman,"Hermann Jean"
debierre,"Debierre Louis"
delhumeau,"Delhumeau François"
dlfo,"Denis Lacorre Sarl Dlfo"
ducroquet,"Ducroquet"
emeriau,"Emeriau Philippe"
enault beaute,"Enault-Beauté Emile"
esbin,"None"
facteur inconnu,"None"
firmin,"Firmin Henri"
formentelli,"Formentelli"
fouss,"Fouss Etienne"
georges gloton,"Gloton Georges"
girardet,"Girardet Jacques"
gloton,"Gloton Georges"
gloton debierre,"Debierre-Gloton"
goydadin,"Goydadin Henri"
guillemin,"Guillemin Gérald"
guillouard,"Guillouard Armand"
holdich,"Holdich George Maydwell"
hulbert,"Hulbert"
hurvy,"Hurvy Bernard"
inconnu,"None"
inconnu xviieme siecle,"None"
jean baptiste lelogeais,"Le Logeais"
joseph beuchet,"Beuchet Joseph"
koenig,"Koenig Yves"
kuhn,"Kuhn Theodor"
lacorre et robert,"Denis Lacorre Sarl Dlfo, Robert"
lambert,"Lambert Roger"
lapeyre,"Lapeyre"
le logeais,"Le Logeais"
lefebvre,"Lefebvre Léonard"
lelogeais,"Le Logeais"
leon,"Léon Alain"
levasseur,"Levasseur Ambroise"
londe,"Londe Denis"
louis bonn,"Bonn Louis"
louis debierre,"Debierre Louis"
lusson,"Lusson Florentin"
maillard,"Maillard Paul"
manufacture d orgues robert,"Manufacture d'orgues Robert Freres"
manufacture da orgues robert freres,"Manufacture d'orgues Robert Freres"
mbgo,"Hédelin Marc"
menoret,"Gildas MENORET"
merklin,"Merklin Joseph"
mlgo,"Manufacture Languedocienne des Grandes Orgues"
mounier,"Mounier Jean-Jacques"
mutin,"Mutin Charles"
nicolas toussaint mgbo,"Toussaint Nicolas,Hédelin Marc"
nonnet plet,"Nonnet Jacques, Laurent PLET"
oberthur,"Oberthur Dominique"
perroux,"Perroux Jean"
pierre le hellocq,"Le Hellocq"
remy mahler,"Mahler Rémy"
renaud,"Renaud Jean"
renaud bouvet,"Renaud Jean, Bouvet Raymond"
robert freres,"Manufacture d'orgues Robert Freres"
roethinger,"Roethinger"
schreder,"Schreder"
schwenkedel,"Schwenkedel Curt"
severe,"Yves Sévère"
stoltz,"Stoltz Jean-Baptiste"
stoltz et goyadin,"Stoltz Jean-Baptiste,Goyadin Henry"
thebault,"Thébault Henri"
thomas,"Thomas Dominique"
tolbecque,"Tolbecque Auguste"
toussaint,"Toussaint Nicolas"
tronchet,"Tronchet Victor, abbé"
van bever,"Van Bever Frères"
verschueren,"Verschueren Emil"
villard,"Villard Jean-Pascal"
walker,"Walker J.W"
yves koenig,"Koenig Yves"
