(deux jeux en attente),,None
(pas de jeu propre),,None
(sans jeu propre),,None
(un jeu en attente),,None
1e trompette,8,1ère Trompette
1ere trompette,8,1ère Trompette
2e trompette,8,2ème Trompette
2eme trompette,8,2ème Trompette
basse,8,Basse
basse,16,Basse
basson,16,Basson
basson,8,Basson
basson acoustique,16,Basson acoustique
basson hautbois,8,Basson-hautbois
basson-hautbois,,Basson-hautbois
basson-hautbois,8,Basson-hautbois
bomarde,16,Bombarde
bombarde,32,Bombarde
bombarde,16,Bombarde
bombarde acoust.,16,Bombarde acoustique
bombarde acoust.,32,Bombarde acoustique
bombarde acoustique,32,Bombarde acoustique
bombarde acoustique,16,Bombarde acoustique
boudon a cheminee,8,Bourdon à cheminée
bourdon,16,Bourdon
bourdon,8,Bourdon
bourdon,,Bourdon
bourdon a cheminee,8,Bourdon à cheminée
bourdon conique,8,Bourdon conique
bourdon-flute,8,Bourdon flûte
carillon,I-III,Carillon
carillon,II-IV,Carillon
chalumeau,4,Chalumeau
chamade,8,Chamade
chamade,4,Chamade
choralbasse,4,Choral basse
chromhorne,8,Chromhorne
cimbale,III,Cimbale
cimbel,III,Cimbel
claion,4,Clairon
clairon,4,Clairon
clairon 4',,Clairon
clairon chamade,4,Clairon en chamade
clairon-hautbois,4,Clairon - Hautbois
clarinette,8,Clarinette
clariton,,Clariton
contre-basse,16,Contrebasse
contrebasse,16,Contrebasse
cor de chamois,8,Cor de Chamois
cor de nuit,8,Cor de nuit
cornet,I-III,Cornet
cornet,IV,Cornet
cornet,V,Cornet
cornet,III,Cornet
cornet,,Cornet
cornet,II-V,Cornet
cornet,III-V,Cornet
cornet,II,Cornet
cornet,II-III,Cornet
cornettino,III,Cornettino
corno inglese,16,Corno inglese
cromorne,4,Cromorne
cromorne,8,Cromorne
cymbale,IV,Cymbale
cymbale,II,Cymbale
cymbale,III,Cymbale
cymbale,,Cymbale
cymbale,V-VI,Cymbale
dessus de cornet,V,Dessus de cornet
dessus de flute,8,Dessus de flûte
diapason,8,Diapason
dolce,8,Dolce
doublete,2,Doublette
doublette,2,Doublette
doucaine,16,Douçaine
dulcian,8,Dulcian
dulciana,8,Dulciana
dulciana,4,Dulciana
dulciane,4,Dulciane
dulciane,8,Dulciane
dulzian,8,Dulzian
fagott,16,Fagott
feldtrompete,4,Feldtrompete
flageolet,8,Flageolet
flageolet,1,Flageolet
flageolet,2,Flageolet
flagolet,2,Flageolet
fluit,4,Fluit
fluste,8,Fluste
fluste a neuf trous,2,Fluste à neuf trous
fluste bouchez,8,Fluste bouchez
fluste d'allemand,4,Fluste d'allemand
flute,16,Flûte
flute,32,Flûte
flute,2,Flûte
flute,8,Flûte
flute,4,Flûte
flute a biberon,4,Flûte à biberon
flute a cheminee,8,Flûte à cheminée
flute a cheminee,4,Flûte à cheminée
flute a cheminees,4,Flûte à cheminée
flute a cheminees,2,Flûte à cheminée
flute a fuseau,4,Flûte à fuseau
flute a fuseau,8,Flûte à fuseau
flute allemande,8,Flûte allemande
flute bouchee,4,Flûte bouchée
flute conique,4,Flûte conique
flute conique,2,Flûte conique
flute conique,8,Flûte conique
flute creuse,8,Flûte creuse
flute d'allemand,4,Flûte d'Allemand
flute de bonn,8,Flûte de Bonn
flute douce,8,Flûte douce
flute douce,4,Flûte douce
flute harmonique,8,Flûte harmonique
flute large,4,Flûte large
flute octaviante,4,Flûte octaviante
flute ouvert,8,Flûte ouverte
flute ouverte,8,Flûte ouverte
flute ouverte,4,Flûte ouverte
flute solo,8,Flûte Solo
flute traversiere,8,Flûte traversière
flutebasse,8,Flûtebasse
fourniture,III,Fourniture
fourniture,II,Fourniture
fourniture,III-V,Fourniture
fourniture,VII,Fourniture
fourniture,IV-V,Fourniture
fourniture,IV,Fourniture
fourniture,V,Fourniture
fourniture,,Fourniture
fournitures,III,Fourniture
fugara,8,Fugara
fugara,4,Fugara
gamba,8,Gamba
gambe,8,Gambe
gedackt,8,Gedackt
gedekt,8,
gemshorm,4,
gemshorn,4,Gemshorn
grand cornet,V,Grand Cornet
grande fourniture,II-IV,
grande tierce,3 1/5,Grande tierce
grande tierce,1 3/5,Grande tierce
